,precision,recall,f1-score,support
AvulsionFracture,0.0,0.0,0.0,14.0
ComminutedFracture,0.15789473684210525,0.42857142857142855,0.23076923076923078,14.0
FractureDislocation,0.15384615384615385,0.631578947368421,0.24742268041237114,19.0
GreenstickFracture,0.0,0.0,0.0,16.0
HairlineFracture,0.0,0.0,0.0,10.0
ImpactedFracture,0.0,0.0,0.0,9.0
LongitudinalFracture,0.0,0.0,0.0,12.0
ObliqueFracture,0.0,0.0,0.0,16.0
PathologicalFracture,0.0,0.0,0.0,18.0
SpiralFracture,0.30434782608695654,0.5833333333333334,0.4,12.0
accuracy,0.17857142857142858,0.17857142857142858,0.17857142857142858,0.17857142857142858
macro avg,0.06160887167752156,0.1643483709273183,0.0878191911181602,140.0
weighted avg,0.06275555108507054,0.17857142857142858,0.0909414297043163,140.0
